%
% The data in this file was extracted from a direct numerical simulation
% of turbulent channel flow over a bump. Particulars are listed
% below.
%
% References:
%
%   M. Marquillie and J.-P. Laval (2007) "Direct Numerical 
%   Simulation of a separated channel flow with a smooth profile",
%   to appear in Journal of Turbulence
%
%   For the following statistics, (u,v,w) are the tangential, normal
%   and spanwise velocity components in a local coordinate system.
%   The statistics normalized with the maximum velocity at the inlet (Uo)
%   are given at 14 streamwise positions. These statistics are interpolated 
%   from the 2D statistics computed in the fixe coordinate system and given 
%   in NetCDF format (statistics_2d.nc)
%
%  X	: Streamwise coordinates
%  Y1-Y	: Coordinates normal to the wall
%  U	: Mean tangential velocity
%  u'u'	: Tangential component of Reynolds stress
%  v'v'	: Normal component of Reynolds stress
%  w'w'	: Spanwise component of Reynolds stress
%  u'v'	: Shear stress
%
%  Re =  7900
%  Uo =  max[U(x=0,y)] = 1.03367
%  Ny =  129
%
% Date File Created: November 5, 2007
%
       X              Y1-Y           U              u'u'           v'v'           w'w'          u'v'
  5.07309E-01    6.74607E-01    9.72930E-01    3.31292E-03    1.36191E-03    1.25962E-03   -8.37201E-04
  5.07309E-01    6.86235E-01    9.75277E-01    3.24533E-03    1.33452E-03    1.22042E-03   -7.99539E-04
  5.07309E-01    6.97909E-01    9.77580E-01    3.17407E-03    1.31104E-03    1.18356E-03   -7.64894E-04
  5.07309E-01    7.09629E-01    9.79793E-01    3.10468E-03    1.29014E-03    1.14725E-03   -7.32054E-04
  5.07309E-01    7.21392E-01    9.81887E-01    3.03419E-03    1.27022E-03    1.11068E-03   -6.98866E-04
  5.07309E-01    7.33198E-01    9.83869E-01    2.95655E-03    1.25038E-03    1.07476E-03   -6.63247E-04
  5.07309E-01    7.45043E-01    9.85751E-01    2.87429E-03    1.23045E-03    1.04106E-03   -6.23921E-04
  5.07309E-01    7.56927E-01    9.87538E-01    2.79763E-03    1.21020E-03    1.01064E-03   -5.82346E-04
  5.07309E-01    7.68848E-01    9.89241E-01    2.73387E-03    1.18945E-03    9.83581E-04   -5.41982E-04
  5.07309E-01    7.80803E-01    9.90875E-01    2.68278E-03    1.16858E-03    9.60071E-04   -5.05357E-04
  5.07309E-01    7.92792E-01    9.92458E-01    2.63814E-03    1.14849E-03    9.41100E-04   -4.72305E-04
  5.07309E-01    8.04811E-01    9.94004E-01    2.59424E-03    1.12957E-03    9.27366E-04   -4.41092E-04
  5.07309E-01    8.16860E-01    9.95506E-01    2.55125E-03    1.11206E-03    9.18425E-04   -4.10671E-04
  5.07309E-01    8.28937E-01    9.96935E-01    2.51440E-03    1.09657E-03    9.13583E-04   -3.81182E-04
  5.07309E-01    8.41039E-01    9.98252E-01    2.48888E-03    1.08397E-03    9.10548E-04   -3.52688E-04
  5.07309E-01    8.53165E-01    9.99440E-01    2.47032E-03    1.07488E-03    9.04264E-04   -3.24554E-04
  5.07309E-01    8.65314E-01    1.00050E+00    2.45110E-03    1.06898E-03    8.92752E-04   -2.96356E-04
  5.07309E-01    8.77482E-01    1.00144E+00    2.42751E-03    1.06524E-03    8.78630E-04   -2.67771E-04
  5.07309E-01    8.89669E-01    1.00223E+00    2.40127E-03    1.06313E-03    8.66409E-04   -2.38612E-04
  5.07309E-01    9.01873E-01    1.00286E+00    2.37857E-03    1.06287E-03    8.59222E-04   -2.08505E-04
  5.07309E-01    9.14091E-01    1.00331E+00    2.36235E-03    1.06379E-03    8.56603E-04   -1.77453E-04
  5.07309E-01    9.26322E-01    1.00357E+00    2.35245E-03    1.06454E-03    8.57324E-04   -1.46031E-04
  5.07309E-01    9.38565E-01    1.00365E+00    2.35256E-03    1.06430E-03    8.60448E-04   -1.14936E-04
  5.07309E-01    9.50816E-01    1.00352E+00    2.36858E-03    1.06308E-03    8.65494E-04   -8.41268E-05
  5.07309E-01    9.63075E-01    1.00318E+00    2.40190E-03    1.06166E-03    8.73010E-04   -5.24712E-05
  5.07309E-01    9.75340E-01    1.00269E+00    2.44470E-03    1.06109E-03    8.83455E-04   -1.91593E-05
  5.07309E-01    9.87608E-01    1.00215E+00    2.48044E-03    1.06202E-03    8.96717E-04    1.49385E-05
