%
% The data in this file was extracted from a direct numerical simulation
% of turbulent channel flow over a bump. Particulars are listed
% below.
%
% References:
%
%   M. Marquillie and J.-P. Laval (2007) "Direct Numerical 
%   Simulation of a separated channel flow with a smooth profile",
%   to appear in Journal of Turbulence
%
%   For the following statistics, (u,v,w) are the tangential, normal
%   and spanwise velocity components in a local coordinate system.
%   The statistics normalized with the maximum velocity at the inlet (Uo)
%   are given at 14 streamwise positions. These statistics are interpolated 
%   from the 2D statistics computed in the fixe coordinate system and given 
%   in NetCDF format (statistics_2d.nc)
%
%  X	: Streamwise coordinates
%  Y-Y0	: Coordinates normal to the wall
%  U	: Mean tangential velocity
%  u'u'	: Tangential component of Reynolds stress
%  v'v'	: Normal component of Reynolds stress
%  w'w'	: Spanwise component of Reynolds stress
%  u'v'	: Shear stress
%
%  Re =  7900
%  Uo =  max[U(x=0,y)] = 1.03367
%  Ny = 100 
%
% Date File Created: November 5, 2007
%
       X              Y-Y0           U              u'u'           v'v'           w'w'           u'v'
  5.07309E-01    1.65752E-01    7.56726E-01    9.84683E-03    2.50568E-03    3.86546E-03   -2.23995E-03
  5.07309E-01    1.77761E-01    7.66208E-01    9.28150E-03    2.50275E-03    3.87275E-03   -2.21221E-03
  5.07309E-01    1.90635E-01    7.75786E-01    8.76432E-03    2.48797E-03    3.88575E-03   -2.17292E-03
  5.07309E-01    2.04436E-01    7.85249E-01    8.40263E-03    2.47596E-03    3.85425E-03   -2.12280E-03
  5.07309E-01    2.19230E-01    7.94544E-01    8.08361E-03    2.46987E-03    3.74207E-03   -2.07497E-03
  5.07309E-01    2.35090E-01    8.03962E-01    7.60368E-03    2.46724E-03    3.59927E-03   -2.01803E-03
  5.07309E-01    2.52091E-01    8.13908E-01    7.04470E-03    2.45925E-03    3.51058E-03   -1.93722E-03
  5.07309E-01    2.70317E-01    8.24057E-01    6.59563E-03    2.41822E-03    3.41528E-03   -1.86679E-03
  5.07309E-01    2.89855E-01    8.34164E-01    6.28762E-03    2.36241E-03    3.30585E-03   -1.80908E-03
  5.07309E-01    3.10799E-01    8.44371E-01    6.00538E-03    2.30607E-03    3.16631E-03   -1.76371E-03
  5.07309E-01    3.33252E-01    8.54961E-01    5.73710E-03    2.25632E-03    3.00806E-03   -1.71792E-03
  5.07309E-01    3.57321E-01    8.65622E-01    5.39993E-03    2.20197E-03    2.88344E-03   -1.66130E-03
  5.07309E-01    3.83123E-01    8.76609E-01    5.00092E-03    2.12363E-03    2.69172E-03   -1.58610E-03
  5.07309E-01    4.10783E-01    8.87608E-01    4.66217E-03    2.03288E-03    2.51190E-03   -1.50926E-03
  5.07309E-01    4.40435E-01    8.98757E-01    4.32296E-03    1.95165E-03    2.31899E-03   -1.44357E-03
  5.07309E-01    4.72221E-01    9.10242E-01    4.08292E-03    1.87281E-03    2.09549E-03   -1.34408E-03
  5.07309E-01    5.06296E-01    9.21130E-01    3.99431E-03    1.76564E-03    1.92626E-03   -1.25269E-03
  5.07309E-01    5.42825E-01    9.31357E-01    3.85758E-03    1.65612E-03    1.78998E-03   -1.17425E-03
  5.07309E-01    5.81983E-01    9.40977E-01    3.60694E-03    1.56797E-03    1.75249E-03   -1.10726E-03
  5.07309E-01    6.23961E-01    9.51056E-01    3.32317E-03    1.50119E-03    1.69348E-03   -1.00767E-03
  5.07309E-01    6.68961E-01    9.61090E-01    3.14258E-03    1.44548E-03    1.50277E-03   -8.98156E-04
  5.07309E-01    7.17201E-01    9.70765E-01    2.96814E-03    1.40972E-03    1.24775E-03   -7.80060E-04
  5.07309E-01    7.68915E-01    9.80218E-01    2.82671E-03    1.32403E-03    1.08921E-03   -6.36895E-04
  5.07309E-01    8.24352E-01    9.88434E-01    2.53596E-03    1.25536E-03    1.03423E-03   -4.99718E-04
  5.07309E-01    8.83780E-01    9.94797E-01    2.40756E-03    1.19677E-03    9.91449E-04   -3.54533E-04
  5.07309E-01    9.47487E-01    9.99117E-01    2.49025E-03    1.11039E-03    9.60050E-04   -1.91790E-04
  5.07309E-01    1.01578E+00    1.00226E+00    2.47026E-03    1.06174E-03    8.92231E-04   -1.11244E-05
 
       X              Y-Y0           U              u'u'           v'v'           w'w'           u'v'
  1.00644E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
  1.00644E+00    7.50404E-05    1.01010E-03    4.54080E-07    1.83470E-09    2.57741E-07   -1.18929E-10
