%
% The data in this file was extracted from a direct numerical simulation
% of turbulent channel flow over a bump. Particulars are listed
% below.
%
% References:
%
%   M. Marquillie and J.-P. Laval (2007) "Direct Numerical 
%   Simulation of a separated channel flow with a smooth profile",
%   to appear in Journal of Turbulence
%
%  X	: Streamwise coordinates
%  Y0	: Normal coordinates of the lower wall
%  Y1	: Normal coordinates of the upper wall 
%  Utau0: Friction velocity at the lower wall
%  Utau1: Friction velocity at the upper wall
%  Cp0	: Pressure coefficient at the lower wall
%  Cp1	: Pressure coefficient at the upper wall
%  Cf0	: Skin friction coefficient at the lower wall
%  Cf1	: Skin friction coefficient at the upper wall
%
%  Y1 =  2
%  Re =  7900
%  Uo =  max(U(x=0,y)) = 1.03367
%  Po =  P(x=12,y=1)
%  Cf = (1/Re*(dU/dy))/(0.5*Uo^2)
%  Cp = (P-Po)/(0.5*Uo^2)
%  Nx = 1536
%
% Date File Created: November 5, 2007
%
%         X           Y0           Utau0          Utau1           Cp0           Cp1             Cf0             Cf1
  8.83700E-01    7.89576E-03    4.04752E-02    5.66300E-02    2.72177E-01    5.72976E-02    3.06648E-03    6.00284E-03
  8.91883E-01    8.25193E-03    4.05367E-02    5.67391E-02    2.72732E-01    5.65987E-02    3.07582E-03    6.02599E-03
  9.00065E-01    8.61884E-03    4.05991E-02    5.68589E-02    2.73298E-01    5.58903E-02    3.08529E-03    6.05147E-03
  9.08248E-01    8.99649E-03    4.06733E-02    5.69669E-02    2.73852E-01    5.51728E-02    3.09658E-03    6.07448E-03
  9.16430E-01    9.38532E-03    4.07496E-02    5.70859E-02    2.74415E-01    5.44462E-02    3.10821E-03    6.09988E-03
  9.24612E-01    9.78546E-03    4.08380E-02    5.71932E-02    2.74965E-01    5.37107E-02    3.12171E-03    6.12284E-03
  9.32795E-01    1.01969E-02    4.09289E-02    5.73118E-02    2.75523E-01    5.29664E-02    3.13563E-03    6.14826E-03
  9.40977E-01    1.06198E-02    4.10297E-02    5.74189E-02    2.76068E-01    5.22136E-02    3.15108E-03    6.17125E-03
  9.49160E-01    1.10540E-02    4.11320E-02    5.75260E-02    2.76619E-01    5.14520E-02    3.16683E-03    6.19429E-03
  9.57342E-01    1.14997E-02    4.12423E-02    5.76560E-02    2.77158E-01    5.06817E-02    3.18382E-03    6.22232E-03
  9.65524E-01    1.19569E-02    4.13533E-02    5.77632E-02    2.77701E-01    4.99027E-02    3.20098E-03    6.24548E-03
  9.73707E-01    1.24257E-02    4.14709E-02    5.78820E-02    2.78234E-01    4.91148E-02    3.21921E-03    6.27121E-03
  9.81889E-01    1.29058E-02    4.15887E-02    5.79894E-02    2.78769E-01    4.83176E-02    3.23754E-03    6.29450E-03
  9.90072E-01    1.33976E-02    4.17117E-02    5.81082E-02    2.79295E-01    4.75108E-02    3.25671E-03    6.32032E-03
  9.98254E-01    1.39010E-02    4.18349E-02    5.82268E-02    2.79823E-01    4.66938E-02    3.27597E-03    6.34613E-03
  1.00644E+00    1.44165E-02    4.19638E-02    5.83331E-02    2.80342E-01    4.58667E-02    3.29619E-03    6.36934E-03
  1.01462E+00    1.49439E-02    4.20947E-02    5.84505E-02    2.80863E-01    4.50295E-02    3.31679E-03    6.39500E-03
  1.02280E+00    1.54838E-02    4.22324E-02    5.85674E-02    2.81374E-01    4.41825E-02    3.33852E-03    6.42060E-03
  1.03098E+00    1.60365E-02    4.23737E-02    5.86606E-02    2.81886E-01    4.33263E-02    3.36090E-03    6.44105E-03
  1.03917E+00    1.66018E-02    4.25221E-02    5.87889E-02    2.82388E-01    4.24613E-02    3.38449E-03    6.46925E-03
  1.04735E+00    1.71805E-02    4.26743E-02    5.89057E-02    2.82887E-01    4.15876E-02    3.40876E-03    6.49498E-03
  1.05553E+00    1.77725E-02    4.28333E-02    5.89993E-02    2.83375E-01    4.07050E-02    3.43420E-03    6.51564E-03
  1.06371E+00    1.83780E-02    4.29964E-02    5.91286E-02    2.83860E-01    3.98133E-02    3.46041E-03    6.54423E-03
  1.07190E+00    1.89974E-02    4.31671E-02    5.92464E-02    2.84335E-01    3.89119E-02    3.48795E-03    6.57033E-03
  1.08008E+00    1.96305E-02    4.33424E-02    5.93643E-02    2.84804E-01    3.80005E-02    3.51633E-03    6.59652E-03
  1.08826E+00    2.02777E-02    4.35243E-02    5.94823E-02    2.85263E-01    3.70788E-02    3.54591E-03    6.62277E-03
  1.09644E+00    2.09388E-02    4.37093E-02    5.95885E-02    2.85714E-01    3.61464E-02    3.57612E-03    6.64642E-03
  1.10463E+00    2.16143E-02    4.38991E-02    5.96944E-02    2.86151E-01    3.52032E-02    3.60724E-03    6.67008E-03
